file,target,phase,associations,callbacks,scopes,includes
app/models/feeds/source.rb,services/api/internal/domain + gorm models,P1,5:belongs_to:user | 6:belongs_to:organization | 7:belongs_to:author | 9:has_many:import_logs,,"23:scope :active, -> { where.not(status: :inactive) }",
app/models/follow.rb,services/api/internal/domain + gorm models,P1,18:belongs_to:followable | 19:belongs_to:follower,44:before_save:calculate_points | 45:after_create:send_email_notification | 46:after_save:touch_follower | 48:after_destroy:update_user_activities,"21:scope :followable_user, ->(id) { where(followable_id: id, followable_type: ""User"") } | 22:scope :followable_tag, ->(id) { where(followable_id: id, followable_type: ""ActsAsTaggableOn::Tag"") } | 25:scope :follower_user, ->(id) { where(follower_id: id, followable_type: ""User"") } | 26:scope :follower_organization, ->(id) { where(follower_id: id, followable_type: ""Organization"") } | 27:scope :follower_podcast, ->(id) { where(follower_id: id, followable_type: ""Podcast"") } | 28:scope :follower_tag, ->(id) { where(follower_id: id, followable_type: ""ActsAsTaggableOn::Tag"") } | 29:scope :follower_subforem, ->(id) { where(follower_id: id, followable_type: ""Subforem"") } | 32:scope :non_suspended, lambda { |followable_type, followable_id|",
app/models/geolocation.rb,services/api/internal/domain + gorm models,P1,,,,8:include ActiveModel::Type::Helpers::Mutable | 28:include ActiveModel::Validations
app/models/github_repo.rb,services/api/internal/domain + gorm models,P1,2:belongs_to:user,12:before_destroy:clear_caches | 13:after_save:clear_caches,"10:scope :featured, -> { where(featured: true) }",
app/models/html_variant.rb,services/api/internal/domain + gorm models,P1,6:belongs_to:user,8:before_validation:strip_whitespace | 16:before_save:prefix_all_images,"18:scope :relevant, -> { where(approved: true, published: true) }",
app/models/identity.rb,services/api/internal/identity,P1,5:belongs_to:user,,"7:scope :enabled, -> { where(provider: Authentication::Providers.enabled) } | 10:scope provider_name, -> { where(provider: provider_name) }",
app/models/lead_submission.rb,services/api/internal/domain + gorm models,P1,2:belongs_to:organization_lead_form | 3:belongs_to:user,,,
app/models/linked_domain.rb,services/api/internal/domain + gorm models,P1,9:has_many:webpage_references,13:before_save:apply_manual_setting_limits,,
app/models/liquid_embed_reference.rb,services/api/internal/domain + gorm models,P1,2:belongs_to:record | 3:belongs_to:referenced,,"8:scope :published, -> { where(published: true).where(""published_at <= ? OR published_at IS NULL"", Time.current) } | 9:scope :unpublished, -> { where(published: false).or(where(""published_at > ?"", Time.current)) } | 10:scope :popular, -> { order(score: :desc) } | 11:scope :recent, -> { order(created_at: :desc) } | 12:scope :by_tag, ->(tag_name) { where(tag_name: tag_name) }",
app/models/media_store.rb,services/api/internal/domain + gorm models,P1,,5:before_validation:set_output_url_if_needed,,
app/models/mention.rb,services/api/internal/comments,P1,9:belongs_to:user | 10:belongs_to:mentionable,,,
app/models/navigation_link.rb,services/api/internal/domain + gorm models,P1,5:belongs_to:subforem,8:before_validation:allow_relative_url | 9:before_validation:set_default_icon_if_blank | 10:before_save:strip_local_hostname,"48:scope :ordered, -> { order(position: :asc, name: :asc) } | 50:scope :from_subforem, lambda { |subforem_id = nil|",
app/models/note.rb,services/api/internal/domain + gorm models,P1,5:belongs_to:author | 6:belongs_to:noteable,,,
app/models/notification.rb,services/api/internal/notifications,P1,5:belongs_to:notifiable | 6:belongs_to:user | 7:belongs_to:organization,13:before_create:mark_notified_at_time | 14:after_commit:cleanup_old_notifications,"16:scope :for_published_articles, -> { where(notifiable_type: ""Article"", action: ""Published"") } | 17:scope :for_comments, -> { where(notifiable_type: ""Comment"", action: nil) } # nil action means ""not a reaction"" | 18:scope :for_mentions, -> { where(notifiable_type: ""Mention"") } | 20:scope :for_organization, ->(org_id) { where(organization_id: org_id, user_id: nil) } | 21:scope :for_organization_comments, lambda { |org_id| | 25:scope :for_organization_mentions, lambda { |org_id| | 28:scope :unread, -> { where(read: false) } | 30:scope :from_subforem, lambda { |subforem_id = nil|",
app/models/notification_subscription.rb,services/api/internal/notifications,P1,9:belongs_to:notifiable | 10:belongs_to:user,,,
app/models/onboarding_checklist.rb,services/api/internal/domain + gorm models,P1,2:belongs_to:user,,,
